 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   6.12.2021    Time:  11: 5:44
 Units: L = cm   , T = hours, M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh
   31      3.00     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   32      3.10     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   33      3.20     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   34      3.30     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   35      3.40     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   36      3.50     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   37      3.60     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   38      3.70     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   39      3.80     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   40      3.90     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   41      4.00     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   42      4.10     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   43      4.20     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   44      4.30     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   45      4.40     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   46      4.50     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   47      4.60     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   48      4.70     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   49      4.80     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   50      4.90     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   51      5.00     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   52      5.10     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   53      5.20     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   54      5.30     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   55      5.40     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   56      5.50     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   57      5.60     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   58      5.70     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   59      5.80     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   60      5.90     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   61      6.00     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   62      6.10     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   63      6.20     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   64      6.30     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   65      6.40     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   66      6.50     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   67      6.60     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   68      6.70     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   69      6.80     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   70      6.90     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   71      7.00     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   72      7.10     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   73      7.20     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   74      7.30     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   75      7.40     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   76      7.50     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   77      7.60     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   78      7.70     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   79      7.80     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   80      7.90     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   81      8.00     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   82      8.10     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   83      8.20     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   84      8.30     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   85      8.40     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   86      8.50     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   87      8.60     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   88      8.70     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   89      8.80     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   90      8.90     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   91      9.00     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   92      9.10     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   93      9.20     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   94      9.30     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   95      9.40     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   96      9.50     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   97      9.60     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   98      9.70     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
   99      9.80     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
  100      9.90     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
  101     10.00     0.060     0.400       0.0   0.100E+02     1.000     0.000     1.000     1.000     1.000
  102     10.10     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  103     10.20     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  104     10.30     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  105     10.40     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  106     10.50     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  107     10.60     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  108     10.70     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  109     10.80     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  110     10.90     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  111     11.00     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  112     11.10     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  113     11.20     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  114     11.30     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  115     11.40     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  116     11.50     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  117     11.60     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  118     11.70     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  119     11.80     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  120     11.90     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  121     12.00     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  122     12.10     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  123     12.20     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  124     12.30     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  125     12.40     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  126     12.50     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  127     12.60     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  128     12.70     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  129     12.80     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  130     12.90     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  131     13.00     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  132     13.10     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  133     13.20     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  134     13.30     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  135     13.40     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  136     13.50     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  137     13.60     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  138     13.70     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  139     13.80     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  140     13.90     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  141     14.00     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  142     14.10     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  143     14.20     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  144     14.30     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  145     14.40     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  146     14.50     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  147     14.60     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  148     14.70     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  149     14.80     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  150     14.90     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  151     15.00     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  152     15.10     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  153     15.20     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  154     15.30     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  155     15.40     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  156     15.50     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  157     15.60     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  158     15.70     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  159     15.80     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  160     15.90     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  161     16.00     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  162     16.10     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  163     16.20     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  164     16.30     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  165     16.40     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  166     16.50     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  167     16.60     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  168     16.70     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  169     16.80     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  170     16.90     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  171     17.00     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  172     17.10     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  173     17.20     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  174     17.30     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  175     17.40     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  176     17.50     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  177     17.60     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  178     17.70     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  179     17.80     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  180     17.90     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  181     18.00     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  182     18.10     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  183     18.20     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  184     18.30     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  185     18.40     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  186     18.50     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  187     18.60     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  188     18.70     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  189     18.80     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  190     18.90     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  191     19.00     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  192     19.10     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  193     19.20     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  194     19.30     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  195     19.40     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  196     19.50     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  197     19.60     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  198     19.70     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  199     19.80     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  200     19.90     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
  201     20.00     0.060     0.400       0.0   0.100E+01     0.100     0.000     1.000     1.000     1.000
end
